channelName,originalUrl,subscribersCount,viewsCount,videosCount,channelCategories,definedCategories,clusterName,inferredClusterName
LUKI,https://www.youtube.com/channel/UCqw4zVI5THL2c8kUacGLQmg,788000,33990885,467,Інтерв'ю,"Health,Education,Food,Mental Health,Sexual Health,Professional Insights,Clinical Cases",Особистісний розвиток і психологія,Особистісний розвиток і психологія
Стася,https://www.youtube.com/channel/UCaG46iXKzvelZaQczrua1DA,264000,25749526,87,"Вибір редакції,Персональні,Про все","Society,Education,Finance,Technology,Current Events,Ukrainian Politics,Psychology,Real Estate",Особистісний розвиток і психологія,Особистісний розвиток і психологія
3 x 4,https://www.youtube.com/channel/UCLYkNKqZc49EnAeeIl7RN9A,155000,9046626,120,"Вибір редакції,Шоу і програми","Psychology,Health,Society,Mental Health,Addiction,Trauma,Personal Development,Self-Discovery",Особистісний розвиток і психологія,
Медитації українською,https://www.youtube.com/channel/UCy2MwYathQkN13q1RalbsnQ,103000,6981315,133,Психологія,"Health,Wellness,Meditation,Yoga,Self-Care,Mental Health",Особистісний розвиток і психологія,Сімейний влог та покупки
кіп ґоінґ,https://www.youtube.com/channel/UCNwLrKRl6nHsdH3Dg9hg_wA,68600,6046469,98,"Вибір редакції,Здоров'я,Книги,Персональні,Психологія","Self-Improvement,Health,Education,Productivity,Language Learning,Personal Development",Особистісний розвиток і психологія,
Chernyak Blog,https://www.youtube.com/channel/UCO0zcgJ4PLc55g20UYtfn2g,176000,7388499,60,"Здоров'я,Психологія","Science,Psychology,Health,Personal Development,Lifestyle,Habit Formation",Особистісний розвиток і психологія,
Alla Malkin,https://www.youtube.com/channel/UCRVC-Fmc68K4ASZhJg13Wag,138000,7044814,110,"Здоров'я,Психологія","Health,Psychology,Self-Help,Mental Health,Emotional Intelligence,Nutrition",Особистісний розвиток і психологія,
БОВЖЕВІЛЬНІ | Еля Муравські,https://www.youtube.com/channel/UC2TDy0hu8cqT-iMYVW3ALEA,102000,3414132,43,"Здоров'я,Подкасти,Психологія","Education,Science,Psychology,Happiness,Motivation,Neuroscience,Self-Improvement,Cognitive Science",Особистісний розвиток і психологія,
Станіславська,https://www.youtube.com/channel/UC1M9NzqK172GLga_w8ugSng,83100,271464,6,Персональні,"Music,Personal Development,Health,Weight Loss,Life Stories,Mental Health",Особистісний розвиток і психологія,Особистісний розвиток і психологія
Сам собі психолог,https://www.youtube.com/channel/UCwB1JTvouZAALCVZ8BEkwBw,71100,11669372,709,"Здоров'я,Психологія","Health,Personal Development,Mental Health,Self-Help,Women Empowerment,Life Coaching",Особистісний розвиток і психологія,
Євгенія Стрілецька,https://www.youtube.com/channel/UCSP0ITH49PCGcxK7H3DbifQ,108000,3253688,42,"Здоров'я,Психологія","Psychology,Mental Health,Self-Help,Empathy,Trauma Recovery,Personal Boundaries",Особистісний розвиток і психологія,
Книжковий Інсайт,https://www.youtube.com/channel/UCBCttvH1b5iRk8sL4SFK5zA,90100,2893546,23,"Аудіокниги,Книги","Education,Self-Improvement,Psychology,Time Management,Personal Development,Influence and Persuasion",Особистісний розвиток і психологія,
Простими словами. Психологія та наука,https://www.youtube.com/channel/UCFZQ7YeLZ-RF_XG6Goaw98A,62900,4337018,141,"Вибір редакції,Здоров'я,Подкасти,Психологія","Society,Health,Mental Health,War and Conflict,Veteran Support,Psychological Trauma,Emotional Resilience",Особистісний розвиток і психологія,Особистісний розвиток і психологія
Жак Фреско українською,https://www.youtube.com/channel/UC5ZDEtZ1JP-KmdKX0xNHp2g,51600,3453957,142,"Навчання,Суспільство","Society,Mental Health,Self-Improvement,Personal Development,Relationships,Conflict Resolution",Особистісний розвиток і психологія,Сімейний влог та покупки
Свідок ЕВОЛЮЦІЇ,https://www.youtube.com/channel/UCF9KqqyMHuOpbU6w_cVHGLw,56700,3053047,150,"Наука,Психологія,Суспільство","Society,Spirituality,Health,Investing,Elder Care,Cultural Commentary,Personal Development,Ethnic Studies",Особистісний розвиток і психологія,
Ефект Метелика,https://www.youtube.com/channel/UCDKoKXb4IgJxg2YBs6p1duw,73300,1699877,277,Психологія,"Health,Psychology,Self-Improvement,Meditation,Mental Health,Emotional Well-being",Особистісний розвиток і психологія,
Liubov Prudeus,"https://www.youtube.com/channel/UCP-5isI4l1OKvrgajCLU9Kg
",52300,3226352,180,Психологія,"Mental Health,Self-Improvement,Lifestyle,Coping Strategies,Motivation,Emotional Well-being",Особистісний розвиток і психологія,
Я ДУША,https://www.youtube.com/channel/UC8xnaSlMMQPm5WEKoPxgHAA,45900,2894525,480,Гроші та фінанси,"Health,Finance,Personal Development,Meditation,Yoga,Wealth Mindset,Life Purpose",Особистісний розвиток і психологія,
CEO Club Ukraine,https://www.youtube.com/channel/UCCw4k7cDHplbkSHdlVLNdDw,59600,10746004,912,"Навчання,Подкасти","Society,Education,Business,Mental Health,Technology,History,Leadership,International Trade",Особистісний розвиток і психологія,Особистісний розвиток і психологія
itsMartik,https://www.youtube.com/channel/UCirefBjabtvbzeNNquCqAHg,38000,2908064,51,Персональні,"Society,Finance,Self-Improvement,Psychology,Crime,Transportation,Economics,Cultural Critique",Особистісний розвиток і психологія,
Діна Веселкова,https://www.youtube.com/channel/UCOxJ8sjHs685nDL_waWlg9Q,33200,1453963,50,"Здоров'я,Психологія","Psychology,Relationships,Mental Health,Conflict Resolution,Therapy Techniques,Self-Diagnosis,Long-Term Relationships,Pickup Techniques",Особистісний розвиток і психологія,
LOVEUKRAINE,https://www.youtube.com/channel/UC6_y4V-eHA104V7oUwVwHtQ,28700,9064134,16,"Мистецтво,Музика","Culture,Society,Finance,Wealth Mindset,Personal Development,Life Lessons",Особистісний розвиток і психологія,Особистісний розвиток і психологія
Голоси дітей,https://www.youtube.com/channel/UCAyigSe_AVjmW1WMdv5eM8g,31500,12266770,613,"Психологія,Суспільство","Society,Health,Education,Child Psychology,Mental Health,Child Safety,Bullying Prevention,Substance Abuse",Особистісний розвиток і психологія,
Olya TV,https://www.youtube.com/channel/UCoT5unGRS0Fln_s4Wz3ka1Q,37800,7636709,383,Персональні,"Technology,Society,Migration,Personal Finance,Career Advice,Real Estate",Особистісний розвиток і психологія,Особистісний розвиток і психологія
Юлія Латуненко,https://www.youtube.com/channel/UCrG4dWmRpDNoRlfuoc-WMtw,71800,3045052,507,"Здоров'я,Психологія","Psychology,Relationships,Mental Health,Divorce,Child Psychology,Toxic Relationships,Emotional Dependency,Psychological Manipulation",Особистісний розвиток і психологія,
ScienceUA,https://www.youtube.com/channel/UCwW8cVTXEd4_SYn0rtRsEKw,34800,1988807,189,Наука,"Health,Psychology,Science,Nutrition,Mental Health,Child Development,Research Studies,Substance Effects",Особистісний розвиток і психологія,Літературні портрети України
Сторінки Успіху,https://www.youtube.com/channel/UCNFldWCTpOCXz9AsNOjD1lg,27600,1735597,171,Книги,"Education,Self-Improvement,Psychology,Motivation,Stoicism,Personal Development,Life Skills",Особистісний розвиток і психологія,Автоспорт та Гонки
VILNOMOV Іван Гладирь,https://www.youtube.com/channel/UCEdh0ShfWs2DrgBE0qEcmEw,36800,1426110,192,"Навчання,Персональні","Education,Self-Improvement,Communication Skills,Public Speaking,Language Development,Mental Health",Особистісний розвиток і психологія,Особистісний розвиток і психологія
Дмитрий Остапенко,https://www.youtube.com/channel/UCivT7gSRlaiwC7F3JcgrlAQ,32700,2927046,1074,Психологія,"Society,Relationships,Self-Help,Emotional Wellbeing,Marriage Advice,Gender Roles",Особистісний розвиток і психологія,Особистісний розвиток і психологія
Роман Кузнецов,https://www.youtube.com/channel/UCr1z7Gw6Ipo-4jfJrg12g7g,24400,1469360,140,Психологія,"Psychology,Society,Mental Health,Gender Studies,Narcissism,Abusive Relationships,Depression Treatment,Meditation Techniques",Особистісний розвиток і психологія,
Rist,https://www.youtube.com/channel/UCwroLDOWvSNxXs8jej_xXrw,24700,1098715,390,Навчання,"Business,Mental Health,Self-Improvement,Workplace Culture,Copywriting,Entrepreneurship,Investing,Financial Literacy",Особистісний розвиток і психологія,Особистісний розвиток і психологія
аліна читає репт,https://www.youtube.com/channel/UCMz5TXl07U7tn-4J5i4CXGg,24000,871614,48,"Здоров'я,Психологія","Psychology,Mental Health,Relationships,Parenting,Coping Strategies,Emotional Well-being",Особистісний розвиток і психологія,
НАКУХНІНОЧІ,https://www.youtube.com/channel/UCYwW1OZSQtRX_WW1GoaTJdQ,20400,462697,44,Подкасти,"Society,Psychology,Self-Improvement,Mental Health,Relationships,Personal Development,Emotional Well-being",Особистісний розвиток і психологія,Особистісний розвиток і психологія
СЕНС – Психологічна Студія 🇺🇦,,20800,1227576,530,"Здоров'я,Психологія","Psychology,Education,Society,Mental Health,Self-Improvement",Особистісний розвиток і психологія,
Простір твого спокою,https://www.youtube.com/channel/UCJ6pXnxrWloJwXY8wJIL_-g,24300,884007,66,Про все,"Education,Psychology,Health,Self-Improvement,Stoicism,Mental Health,Decision Making,Personal Boundaries",Особистісний розвиток і психологія,
Андрій Мельник – Фундамент Самооцінки,https://www.youtube.com/channel/UCgwUr3EVGrwNjpkkN-56sOg/featured,42100,2816553,595,Гроші та фінанси,"Psychology,Self-Improvement,Philosophy,Stoicism,Emotional Intelligence,Interpersonal Relationships",Особистісний розвиток і психологія,
Євгенія Стрелецька,https://www.youtube.com/channel/UCSP0ITH49PCGcxK7H3DbifQ,117000,4143420,54,"Здоров'я,Психологія","Health,Psychology,Mental Health,Emotional Well-being,Empathy,Trauma Recovery",Особистісний розвиток і психологія,
Тиша – Медитації українською,https://www.youtube.com/channel/UCy2MwYathQkN13q1RalbsnQ,120000,9662045,165,Психологія,"Health,Wellness,Mindfulness,Meditation,Yoga,Self-Improvement",Особистісний розвиток і психологія,Сімейний влог та покупки
Марина Романенко,https://www.youtube.com/channel/UCwB1JTvouZAALCVZ8BEkwBw,97800,14133252,890,"Здоров'я,Психологія","Health,Mental Health,Self-Improvement,Anxiety Management,Self-Reflection,Women's Issues,Language Learning",Особистісний розвиток і психологія,
Катря розкаже І Аудіокниги І Подкаст,https://www.youtube.com/channel/UCX_S1pTCpE37M6fxlvEYVNA,24000,392554,133,"Аудіокниги,Книги","Education,Self-Help,Personal Development,Mental Health,Audiobooks,Lifestyle",Особистісний розвиток і психологія,
Світла Душа – Медитації та афірмації українською,https://www.youtube.com/@Meditation_Zavgorodnia,27300,2633924,142,"АСМР,Йога,Медицина","Psychology,Daily Life,Health and Wellness,Meditation",Особистісний розвиток і психологія,
Meditation Steps | Україна,https://www.youtube.com/channel/UCTBJ6H55IkRsPiDZb13g64A,24700,813054,198,Про все,"Psychology,Religion,Daily Life,Culture,Self-Improvement",Особистісний розвиток і психологія,
Корисні книги,https://youtube.com/@korysni_k,24100,1199501,496,"Аудіокниги,Книги,Огляди книжок","Education,Psychology,Self-Help,Literature,Society",Особистісний розвиток і психологія,
